Inglese;Italiano;Frase inglese;Traduzione frase
want;volere;I want to go to the cinema;Voglio andare al cinema
air;aria;Today the air is fresh;Oggi l’aria è fresca
well;bene;Things are going well;Le cose stanno andando bene
also;anche;Bring the red one also;Porta anche quello rosso
play;giocare, suonare;The band plays in a garage;La band suona in un garage
small;piccolo;I live in a small village;Vivo in un piccolo paese
end;fine;The world is not going to end today;Il mondo non finirà oggi
put;mettere;Put the dogs in their fence;Metti i cani nel loro recinto
home;casa;John wants to go home;John vuole andare a casa
read;leggere;I read the newspaper every day;Leggo il giornale ogni giorno
hand;mano;This objects are made by hand;Questi sono oggetti fatti a mano
port;porto;Genoa has a beautiful port;Genova ha un bel porto
large;grande;They bought a large house;Hanno comprato una casa grande
spell;incantesimo, fascino;The spell of the music made us feel good;Il fascino della musica ci ha fatto sentire bene
add;aggiungere;Can you add some more sugar in my coffe?;Puoi aggiungermi dello zucchero nel caffè?
even;pari, uguale;Odd or even;Pari o dispari
land;terra;This land is fertile;Questa terra è fertile
here;qui;Here the land is fertile;Qui la terra è fertile
must;dovere;You must come to our concert;Devi venire al nostro concerto
big;grande;After the concert there will be a big party;Dopo il concerto ci sarà una grande festa
high;alto;It is a high tree;E’ un albero alto
such;come;I’d like to have a girlfriend such Jessica;Vorrei avere una fidanzata come Jessica
follow;seguire;Follow the instruction to get to the concert;Seguite le istruzioni per raggiungere il concerto
act;atto;That man is guilty of several violent acts;Quell’uomo è colpevole di diversi atti violenti
why;perché;Why this land is so fertile?;Perché questa terra è così fertile?
ask;chiedere;Ask Jessica for the tickets;Chiedete a Jessica per i biglietti
men;uomini;There are very sed men;Ci sono uomini molto tristi
change;cambiare;Can I change my airline ticket?;Posso cambiare il mio biglietto aereo?
went;passato di go;We went to the concert by bus;Siamo andati al concerto in autobus
light;leggero;I’ll have a light coffe;Prendo un caffè leggero
kind;gentile;Your son is always so kind to me!;Tuo figlio è sempre così gentile con me!
off;dal, giù, spento;All lights are off;Tutte le luci sono spente
need;aver bisogno;I need a strong coffe;Ho bisogno di un caffè forte
house;casa;Their new house has two garages;Nella loro casa nuova ci sono due garage
picture;fotografia;Let’s take a picture of that wonderful house;Facciamo una foto a quella casa stupenda
try;provare;Try to find the tickets for the concert;Prova a cercare i biglietti per il concerto
us;noi;Come and have dinner with us;Vieni a cena da noi
again;di nuovo;He knocked again at my door;Ha bussato di nuovo alla mia porta
animal;animale;I want to full up my house with animals;Voglio riempire la mia casa di animali
point;punto;Art what point did you get it?;A che punto te ne sei accorto?
mother;madre;My mother used to buy me candies;Mia madre mi comprava sempre caramelle
world;mondo;I do not like the world we are living in;Non mi piace il mondo in cui viviamo
near;vicino;We live near the hospital;Viviamo vicino all’ospedale
build;costruire;It takes a lot of time to build a hospital;Ci vuole parecchio tempo per costruire un ospedale
self;sé;He only thinks of self;Pensa solo a se stesso
earth;terra;It’s better if you come down-to-earth;E’ meglio se tieni i piedi per terra
father;padre;Does your father play soccer?;Tuo padre gioca a calcio?
head;testa;What is that on your head?;Cos’hai sulla testa?
stand;alzarsi;Stand up and come here;Alzati e vieni qui
own;possedere;Do you own a cellphone?;Hai un cellulare?
page;pagina;Today I’m going to right the last page of the book;Oggi scriverò l’ultima pagina del libro
should;dovere (condizionale);You shoud go and visit her;Dovresti proprio andare a farle visita
country;paese;I love my country;Amo il mio paese
found;passato di find;We found a cellphone on the groud;Abbiamo trovato un cellulare per terra
answer;risposta;You always have the right answer!;Hai sempre la risposta giusta!
school;scuola;My school is not far from here;La mia scuola non è lontana da qui
grow;crescere;Sooner or later you will grow;Prima o poi crescerai
study;studiare;I’ll stay home to study maths;Starò a casa per studiate matematica
still;ancora;Are you still studying maths?;Stai ancora studiando matematica?
learn;apprendere;I want to learn as much as I can;Voglio imparare più cose possibile
plant;pianta;There is a new plant in the garden;Nel giardino c’è una nuova pianta
cover;coprire;Cover the sofa so that it stays clean;Copri il divano così rimane pulito
food;cibo;Is there any food in the fridge?;C’è del cibo in frigo?
sun;sole;Today the sun is very hot;Oggi il sole è molto caldo
four;quattro;Four kids are coming for dinner;Vengono quattro bambini a cena
thought;idea, pensiero;Your are not in my thoughts;Non sei nei miei pensieri
let;lasciare;Let him go;Lascialo andare
keep;tenere;Keep some food for tomorrow;Tieni del cibo per domani
eye;occhio;Is there something in my eye?;Ho qualcosa nell’occhio?
never;mai;I won’t come to your house never again;Non verrò mai più a casa tua
last;ultimo;Did you like the last page of my book?;Ti è piaciuta l’ultima pagina del mio libro?
door;porta;Open the door, it’s hot in here!;Apri la porta che qui fa caldo!
between;tra;I like to sit between my brothers;Mi piace sedermi in mezzo ai miei fratelli
city;città;Which city do you like more?;Qual è la città che ti piace di più?
tree;albero;That tree is already blooming;Quell’albero sta già fiorendo
cross;croce;I like cross jewels;Mi piacciono i gioielli a croce
since;da;Fred lives in LA since 2008;Fred vive a LA dal 2008
hard;duro;Sometimes it’s hard to understand you;A volte è difficile capirti
start;inizio;When will the meeting start?;Quando inizierà la riunione?
might;potere;He asked if he might go to the cinema;Ha chiesto se poteva andare al cinema
story;storia;Tell me your story again;Raccontami di nuovo la tua storia
saw;passato di see;Yesterday we saw Jessica and Fred together;Ieri abbiamo visto Jessica e Fred insieme
far;lontano;Is your school far from here?;La tua scuola è lontana da qui?
line;linea;All along the line;Su tutta la linea
draw;disegnare;I still draw as when I was a child;Disegno ancora come quando ero bambino
left;sinistra;Turn left at the crossing light;Gira a sinistra al semaforo
late;tardi;I’m late for my date;Sono in ritardo per il mio appuntamento
run;correre;How fast can Fred run?;Fred corre molto veloce?
don’t;non fare;Don’t lie again;Non mentire di nuovo
while;mentre;Do you listen any music while running?;Ascolti musica mentre corri?
press;premere;Press the red botton to start;Premere il tasto rosso per iniziare
close;chiudere;Close the door if you don’t want to get a cold;Chiudi la porta non se non vuoi prendere un raffreddore
night;notte;I like to walk around at night;Mi piace andare a passeggio di notte
real;reale;Jessica doesn’t live in a real world;Jessica non vive nel mondo reale
life;vita;I wish you a long life;Ti auguro una lunga vita
few;poco, pochi;Wait for a few minutes;Aspetta qualche minuto
stop;stop;Please, stop calling me;Per favore, smetti di chiamarmi
open;aperto;Is the door still open?;La porta è ancora aperta?
seem;sembrare;It seems like we are having guests;Sembra che avremo ospiti
together;insieme;Together everything is easier;Insieme tutto è più semplice
next;prossimo;Read the next chapter to discover it;Leggi il prossimo capitolo per scoprirlo
white;bianco;I want to wear a white dress for your party;Per la tua festa indosserò un abito bianco
children;bambini;Children make the house noisy but happy;I bambini rendono la casa rumorosa ma allegra
begin;iniziare;The movie begins with a fantastic song;Il film inizia con una splendida canzone
got;passato di get;I’ve got it!;Ho capito!
walk;camminare;Fred wants to go out and walk on the snow;Fred vuole uscire a camminare sulla neve
example;esempio;Try to be a good example for your son;Cerca di essere un buon esempio per tuo figlio
ease;alleviare;A massage will ease your pain;Un massaggio allevierà il tuo dolore
paper;carta;Is there any paper left in the photocopy machine?;C’è ancora carta nella fotocopiatrice?
often;spesso;I often go to the cinema;Vado spesso al cinema
always;sempre;She always wants to see the same movie;Vuole sempre vedere lo stesso film
music;musica;I love pop music;Adoro la musica pop
those;quelli, quelle;Look at those girls, how pretty they are!;Guarda che carine quelle ragazze!
both;entrambi, entrambe;I’m angry with both of you;Sono arrabbiata con entrambi
mark;segnare;I was marked by that event;Quell’evento mi ha segnato
book;libro;I’m reading a really interesting book;Sto leggendo un libro davvero interessante
letter;lettera;Nowadays nobody writes letters anymore;Oggi giorno nessuno scrive più lettere
until;fino;I usually read until I fall asleep;Di solito leggo fino a quando non mi addormento
mile;miglia;That place is miles away from here;Quel posto dista parecchie miglia
river;fiume;In Turin we have the Po river;Il fiume di Torino si chiama Po
car;macchina;I wish I could by a new car;Vorrei poter comprare una macchina nuova
feet;piedi;They are waiting at the feet of the mountain;Loro aspettano ai piedi della montagna
care;cura;Take care of your grandmather;Prenditi cura di tua nonna
second;secondo;The red one is my second choise;Quella rossa è la mia seconda scelta
group;gruppo;The second group can now visit the exhibition;Il secondo gruppo può visitare la mostra
carry;portare;Can you carry that table to the other room?;Potete portare quel tavolo nell’altra stanza?
took;passato di take;I took the bus in the main square;Ho preso l’autobus nella piazza principale
rain;pioggia;I’ll stay home if it’ll rain;Se pioverà starò a casa
eat;mangiare;Sometimes I like to eat junkfood;Qualche volta mi piace mangiare schifezze
room;stanza;There is no light in this room;In questa stanza non c’è luce
friend;amico;Let me introduce my friend Jessica;Lasciate che vi presenti la mia amica Jessica
began;passato di begin;Just after I got on the bus it began to rain;E’ iniziato a piovere appena sono salita sull’autobus
idea;idea;This is the best idea you had;Questa è la miglior idea che tua abbia avuto
fish;pesce;There are a lot of fish in this river;Questo fiume è ricco di pesci
mountain;montagna;Fred prefers the sea to the mountain;Fred preferisce il mare alla montagna
north;nord;Lions are moving north;I leoni si stanno spostando al nord
once;una volta;Once upon a time;C’era una volta
base;base;These books are the base of the exam;Questi libri sono alla base dell’esame
hear;sentire;Can you hear me properly?;Riuscite a sentirmi bene?
horse;cavallo;Horses are good for pet therapy;I cavalli sono ottimi per la pet therapy
cut;tagliare;I like your hair, don’t cut it!;Mi piacciono i tuoi capelli, non tagliarli!
sure;sicuro;Are you sure about your choice?;Sicuro della tua scelta?
watch;orologio;My watch says it is four o’clock;Il mio orologio segna le quattro
color;colore;Pink is my favourite color;Il rosa è il mio colore preferito
face;faccia;You don’t have a happy face today;Oggi non hai una faccia molto allegra
wood;legno;I’m going to build a wood house;Intendo costruirmi una casa in legno
main;principale;Which is the main entrance?;Qual è l’entrata principale?
enough;abbastanza;Is there enough sugar?;C’è abbastanza zucchero?
plain;semplice;In plain terms;In parole semplici
girl;ragazza;Jessica is a nice girl;Jessica è una ragazza carina
usual;solito;I’ll take the bus as usual;Prenderò l’autobus come al solito
young;giovane;Fred is not young as it seems;Fred non è giovane come sembra
ready;pronto;Are you ready to go shopping with me?;Sei pronta per andare a fare shopping come me?
above;sopra;Mum, what’s there above the clouds?;Mamma, cosa c’è oltre le nuvole?
ever;mai;Have you ever been to London?;Sei mai stato a Londra?
red;rosso;I prefer red wine;Preferisco il vino rosso
list;lista;Look up again, I’m sure we are on that list;Guardi di nuovo, sono certa che siamo su quella lista
though;sebbene;Though it was cold, we went for a walk;Uscimmo a fare una passeggiata sebbene facesse freddo
feel;sentire;I feel feverish;Mi sento la febbre
talk;parlare;I need to talk to you right now;Devo parlarti immediatamente
bird;uccello;In spring birds sing a lot;In primavera gli uccelli cantano molto
soon;presto;Soon the spring will arrive;La primavera arriverà presto
body;corpo;My body is shivering, I think I have fever;Ho i brividi su tutto il corpo, penso di avere la febbre
dog;cane;Jessica will enjoy playing with this dog;Jessica si divertirà a giocare con questo cane
family;famiglia;Does your family still leave in Milan?;La tua famiglia vive ancora a Milano?
direct;diretto;Be direct with her, she deserves it;Sii diretto con lei, se lo merita
pose;posare;Would you like to pose for me?;Ti piacerebbe posare per me?
leave;lasciare;I have to leave this city as soon as possible;Devo lasciare questa città il prima possibile
song;canzone;Which song did receive more prizes?;Quale canzone ha vinto più premi?
measure;misurare;You should measure the window before buying the curtains;Dovresti misurare la finestra prima di comprare le tende
state;stato;I didn’t realize you were in such a state;Non avevo realizzato fossi in questo stato
product;prodotto;Fred is buying cleaning products;Fred sta comprando prodotti per la pulizia
black;nero;Black is actually not a color;In realtà il nero non è un colore
short;corto;I need a short rope;Mi serve una corda corta
numeral;numerale;Do you know Roman numerals?;Quell’albero sta già fiorendo
class;classe;I went to English class yesterday;Sono andata in una class inglese ieri
wind;vento;The wind makes me nervous;Il vento mi innervosisce
question;domanda;Kids always ask questions;I bambini fanno sempre domande
happen;accadere;What is going to happen?;Cosa sta per accadere?
complete;completare;Read and complete the exercise;Leggete e completate l’esercizio
ship;barca;Fred has bought a new ship;Fred si è comprato una barca nuova
area;area;Which is your area of interest?;Qual è la tua area di interesse?
half;metà, mezzo;Give me half of your sandwich, please;Dammi metà del tuo panino, per favore
rock;roccia;Let’s sweem until that rock;Nuotiamo fino a quella roccia
order;ordinare;After playing you are supposed to order the room;Dopo aver giocato dovreste mettere in ordine la stanza
fire;fuoco, incendio;There is a fire in the forest;C’è un incendio nella foresta
south;sud;We are going south on vacation;Andiamo al sud per le vacanze
problem;problema;Is my son causing any problem?;Mio figlio sta causando problemi?
piece;pezzo;I’d like to taste a piece of that cake;Vorrei assaggiare un pezzo di quella torta
told;passato di tell;My father told me to stay home;Mio padre mi ha detto di stare a casa
knew;passato di know;I knew you were about to say that;Sapevo che l’avresti detto
pass;passare;Pass me the sugar, please;Passami lo zucchero, per favore
farm;fattoria;Fred’s farm is really big;La fattoria di Fred è davvero grande
top;cima;The top of the mountain is white;La cima della montagna è bianca
whole;tutto;Did you pay the whole ammount?;Hai pagato l’intera somma?
king;re;The king is just arrived, hurry up!;Il re è appena arrivato, sbrigatevi!
size;dimensione;Do you remember the size of the window?;Ti ricordi le dimensioni della finestra?
heard;passato di hear;We heard you were about to divorce;Abbiamo sentito che stavate per divorziare
best;migliore;Who is the best singer of the year?;Chi è il miglior cantante dell’anno?
hour;ora;I’ll be there in an hour;Sarò lì in un’ora
better;meglio;Jessica’s cake is better than mine;La torta di Jessica è migliore della mia
TRUE;vero;You should know whether is true or not;Dovresti sapere se è vero o no
during;durante;Those facts happend during the war;Quei fatti avvennero durante la guerra
hundred;cento;It’s hundred percent love;E’ amore al cento per cento
am;sono;I’m the girl you were looking for;Sono la ragazza che stavi cercando
remember;ricordare;Remember to call her at 8.00!;Ricordati di chiamarla alle 8.00!
step;passo;Step by step we will reach our scope;Raggiungeremo lo scopo passo dopo passo
early;presto;Birds sing early in the morning;Gli uccelli cantano al mattino presto
hold;tenere;Hold this for a second;Tieni questo un attimo
west;ovest;The sun sets in the west;Il sole tramonta a ovest
ground;terreno;The ground here is rich in minerals;Qui il terreno è ricco di minerali
interest;interesse;Do you have any interest in my colture?;Ti interessa la mia cultura almeno un po’?
reach;raggiungere;Hold on and you will reach your scope;Tieni duro e raggiungerai il tuo scopo
fast;veloce;If you go that fast we will have an accident;Se vai così veloce avremo un incidente
five;cinque;My cousin has five cats;Mia cugina ha cinque gatti
sing;cantare;Can you sing my favourite song?;Puoi cantare la mia canzone preferita?
listen;ascoltare;You’d better listen what your mother is saying;Dovresti ascoltare ciò che dice tua madre
six;sei;I need six eggs;Mi servono sei uova
table;tavolo;Put the eggs on the table;Metti le uova sul tavolo
travel;viaggio;Fred and Jessica want to travel together;Fred e Jessica vogliono viaggiare insieme
less;meno;It takes less than a minute to get there;Ci vuole meno di un minuto per arrivarci
morning;mattina;I hate monday morning;Odio il lunedì mattina
ten;dieci;My lesson starts at ten o’clock;La mia lezione inizia alle dieci
simple;semplice;This cake is pretty simple;Questa torta è piuttosto semplice
several;diversi;We have several things to do;Abbiamo diverse cosa da fare
vowel;vocale;A is a vowel;La A è una vocale
toward;verso;We are heading toward the city centre;Ci stiamo dirigendo verso il centro della città
war;guerra;My grandfather died during the war;Mio nonno morì in guerra
lay;distendersi, giacere;In summer I like to lay down on the beach;In estate mi spiace stendermi sulla spiaggia
against;contro;They won against all prevision;Vinsero contro ogni previsione
pattern;modello;That’s not the pattern you should follow;Non è quello il modello che dovresti seguire
slow;lento;My motorbike is too slow;La mia moto è troppo lenta
center;centro;Our hotel is far from the city center;Il nostro hotel è lontano dal centro
love;amare, voler bene;Fred loves Jessica’s sister;Fred ama la sorella di Jessica
person;persona;I’m here to meet a person;Sono qui per incontrare una persona
money;denaro;Money can solve a lot of problems;I soldi possono risolvere un sacco di problemi
serve;servire;It’s time to serve the main course;E’ il momento di servire il piatto principale
appear;apparire;The picture appeared in many newspaper;La foto è apparsa su molti giornali
road;strada;This road seems like the one where I leave;Questa strada somiglia a quella in cui vivo io
map;mappa;I don’t like maps;Non mi piacciono le mappe
science;scienza;Science is my favourite subject;La mia materia preferita è scienze
rule;regola;If you want to play you need to know the rules;e vuoi giocare devi conoscere le regole
govern;governo;The govern is undergoing a bad crisis;Il governo sta vivendo una brutta crisi
pull;tirare;Pull it closer to you;Tiralo più vicino a te
cold;freddo;This morning the air was cold;Stamattina l’aria era fredda
notice;notare;I’ve noticed you are a bit nervous;Ho notato che sei un po’ nervoso
voice;voce;Jessica’s voice is so sweet;La voce di Jessica è così dolce
fall;cadere;I like when the snow falls on my head;Mi piace quando la neve mi cade sulla testa
power;potere;Obama is a man of power;Obama è un uomo di potere
town;città;Do you like the town where you live?;Ti piace la città in cui vivi?
fine;bene;Fine to me!;Per me va bene!
certain;certo;It is certain that Fred will have a promotion;E’ certo che Fred avrà una promozione
fly;volare;Jessica flies to NY every week;Jessica vola a NY ogni settimana
unit;unità;My brother studies astronomical units;Mio fratello studia le unità astronomiche
lead;guidare, condurre;He will lead the investigation;Sarà lui a condurre le indagini
cry;piangere;Don’t cry for me, I’ll be fine;Non piangere per me, starò bene
dark;scuro;My cousin always wears dark clothes;Mia cugina indossa sempre abiti scuri
machine;macchina;For Christmas I’d like to receive a bread machine;Per Natale mi piacerebbe ricevere una macchina per il pane
note;nota;Take note of that if you want to remember it;Prendine nota se vuoi ricordartene
wait;attendere;Know and wait, somebody will answer;Bussa e aspetta, qualcuno risponderà
plan;piano;Do you have any plans for the summer holidays?;Avete già dei programmi per le vacanze estive?
figure;cifra;Those figure are pumped up;Quelle cifre sono pompate
star;stella;For me stars are a mystery;Per me le stelle sono un mistero
box;scatola;That box contains all my precious stones;Quella scatola contiene le mie pietre preziose
noun;nome;In grammar you study nouns, verbs and so on;In grammatica si studiano sostantivi, verbi e così via
field;campo;Fred’s sister is in the field of fashion;La sorella di Fred è nel campo della moda
rest;resto;The rest of the group will stay home;Il resto del gruppo rimarrà a casa
correct;corretto;Do you know the correct answer?;Conoscete la risposta esatta?
able;capace, abile;Jessica is an able designer;Jessica è una designer molto capace
pound;sterlina;Here a bottle of water costs 2 pounds;Qui una bottiglia d’acqua costa 2 sterline
done;passato di do;I’ve done all that I could;Ho fatto tutto ciò che ho potuto
beauty;bellezza;Can you see the beauty of this poem?;Percepisci la bellezza di questa poesia?
drive;guidare;Fred drives really fast;Fred guida molto veloce
stood;passato di stay;The dog stood on the threshold waiting for his owner;Il cane rimase sulla soglia in attesa del padrone
contain;contenere;What does that box contain?;Cosa contiene quella scatola?
front;davanti;The pub is in front of the bus stop;Il pub è davanti alla fermata dell’autobus
teach;insegnare;I’m going to teach you some words in Spanish;Ti insegnerò qualche parola in spagnolo
week;settimana;There are 52 weeks in a year;Ci sono 52 settimane in un anno
final;finale;My brother will bring me to the final match;Mio padre mi porterà a vedere lo scontro finale
gave;passato di give;I gave you all I had;I gave you all I had
green;verde;It’s hard to obtain the green card;E’ difficile ottenere la carta verde
oh;oh;Oh my God!;Oh mio Dio!
quick;rapido;How quick time flows!;Come scorre rapido il tempo!
